Food Name,Menu Price,Quantity,Gross,Discount,Net
Thai Milk Green Tea,$3.95,106,423.5,0.6,422.9
Thai Milk Green Tea(No Ice),$5.00,5,25,0,25
Thai Tea,$3.50,327,1297.5,0,1297.5
Thai Tea 1/2,$2.00,2,4,0,4
Thai Tea 1/3,$1.33,3,4,0,4
Thai Tea(No Ice),$4.75,19,94.75,0,94.75
The Seeker Pinot Grigio,$6.00,10,62,0,62
Tiger,$3.00,26,76,0,76
Topo Chico,$2.50,2,5,0,5
Tormaresca Chardonnay,$6.00,11,74,0,74
Water,$1.50,1,1.5,0,1.5
Wings 1 Mix,$6.50,91,635,2.1,632.9
Wings 1 Mix 1/2,$3.50,2,7,0,7
Wings 2 Mix,$11.00,57,729,0,729
Wings 2 Mix 1/2,$6.50,4,26,0,26
Wings 2 Mix 1/3,$4.33,3,13,0,13
Wings 3 Mix,$15.00,8,141,0,141
Wings 3 Mix 1/2,$9.00,2,18,0,18
Wings 3 Mix 1/6,$3.00,6,18,0,18
Wings 4 Mix,$24.00,4,94,0,94
Wings 5 Mix,$30.00,1,30,0,30
