P10 Spicy Tom Yum Soup **,$9.25,16,166,0,166,2021-01-01 00:00:00,2021-01-31 00:00:00
P10 TomYum,$9.50,34,336,0,336,2021-01-01 00:00:00,2021-01-31 00:00:00
P11 Spicy Tom Kha Coconut Soup**,$9.25,40,398.5,0,398.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P11 Tom Kha,$9.50,83,802.5,0,802.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P12 Panang Curry,$9.50,69,669,0,669,2021-01-01 00:00:00,2021-01-31 00:00:00
P12 Panang Curry **,$9.25,58,572.25,0,572.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P13 Masman Curry,$9.50,37,361.5,0,361.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P13 Masman Curry **,$9.25,22,215.25,0,215.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P14 Mixed Vegetable Stir-fried,$9.25,15,161.75,4,157.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P14 Veg Stir-fried,$9.50,16,154,0,154,2021-01-01 00:00:00,2021-01-31 00:00:00
P15 Prik Thai Dum,$10.50,10,107,1.15,105.85,2021-01-01 00:00:00,2021-01-31 00:00:00
P15	 Pad Prik Thai Dum *,$10.50,5,57.5,0,57.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P17 ChuChee Salmon,$14.50,3,45.5,0,45.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P18 Sweet & Sour,$9.50,10,95,0,95,2021-01-01 00:00:00,2021-01-31 00:00:00
P18 Thai Sweet and Sour,$11.50,8,85,0,85,2021-01-01 00:00:00,2021-01-31 00:00:00
P19 Rice Soup,$9.50,2,19,0,19,2021-01-01 00:00:00,2021-01-31 00:00:00
P2 Pad Ga-Tiam,$9.50,13,123.5,0,123.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P2 Pad Ga-Tiam Prik Thai *,$9.25,15,145,0,145,2021-01-01 00:00:00,2021-01-31 00:00:00
P22 Prik Khing,$9.75,5,48.75,0,48.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P22	 Pad Prik Khing **,$9.50,10,101,0,101,2021-01-01 00:00:00,2021-01-31 00:00:00
P24 Prik Pao,$9.50,12,118.5,2.88,115.62,2021-01-01 00:00:00,2021-01-31 00:00:00
P24	 Pad Prik Pao*,$9.50,4,38,0,38,2021-01-01 00:00:00,2021-01-31 00:00:00
P25 Gang Jeud,$9.00,2,18,0,18,2021-01-01 00:00:00,2021-01-31 00:00:00
P26 Gang Pa,$10.50,12,133,0,133,2021-01-01 00:00:00,2021-01-31 00:00:00
P26 Gang Pa (Jungle Curry) ****,$9.75,2,20.25,0,20.25,2021-01-01 00:00:00,2021-01-31 00:00:00
